PredictedValue,PredictionConfidence,Order Priority,Customer Segment,Product Category,Product Sub Category,Product Container,Product Name,Profit,Quantity Ordered,Sales,Gross Unit Price,Shipping Cost,Ship Mode,Ship Date,City,Order Line ID,# of Order Lines,Order ID,# of Orders,Customer ID,# of Customers,Customer Name,Grouped Sub Category,Discount,Order Date,{Row Count}
Refunded,0.53,Low,Corporate,Office Supplies,Paper,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",24.08,3,30.82,10.7,2.27,Regular Air,'2013-01-07',Sheffield,445,445,87463,87463,169,169,Janice Cole,Stationery,1.52,'2013-01-02 07:45:52.000',1
Delivered,0.9,High,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",18.02,7,30.56,4.5,1.2,Regular Air,'2013-01-04',Glasgow,307,307,89583,89583,114,114,Ron Newton,Stationery,0.6,'2013-01-02 05:20:30.000',1
Delivered,0.91,High,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",9.49,29,126.59,4.5,1.2,Regular Air,'2013-01-04',Santiago,317,317,7909,7909,117,117,Linda Weiss,Stationery,5.71,'2013-01-02 04:28:47.000',1
Delivered,1,Low,Corporate,Technology,Office Machines,Large Box,Polycom ViaVideoâ„¢ Desktop Video Communications Unit,-108.62,12,6914.67,606.55,24.49,Regular Air,'2013-01-10',Cardiff,444,444,87463,87463,169,169,Janice Cole,Computer & Electronics,372.26,'2013-01-02 00:25:45.000',1
Delivered,0.99,Critical,Corporate,Technology,Telephones and Communication,Small Box,T18,-254.64,2,231.92,117.13,2.5,Regular Air,'2013-01-06',Melbourne,1020,1020,90337,90337,388,388,Roger Schwartz,Computer & Electronics,6.62,'2013-01-02 09:45:12.000',1
Delivered,1,High,Home Office,Furniture,Tables,Jumbo Box,Bush Advantage Collection Round Conference Table,-265.21,1,204.18,224.37,52.2,Delivery Truck,'2013-01-04',Charleston,7070,7070,88296,88296,2579,2579,Marshall Sutherland,Furniture,12.48,'2013-01-02 00:09:01.000',1
Delivered,0.98,Critical,Corporate,Office Supplies,Paper,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),-49.82,4,21.65,5.58,5.66,Regular Air,'2013-01-05',Melbourne,1019,1019,90337,90337,388,388,Roger Schwartz,Stationery,0.81,'2013-01-02 01:23:19.000',1
Delivered,0.99,Not Specified,Corporate,Technology,Office Machines,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,-541.83,1,225.27,225.27,14.7,Delivery Truck,'2013-01-05',Manchester,495,495,90430,90430,193,193,Danny Hong,Computer & Electronics,1.98,'2013-01-02 06:26:45.000',1
Delivered,0.88,High,Home Office,Furniture,Office Furnishings,Medium Box,36X48 HARDFLOOR CHAIRMAT,-49.89,3,63.13,22.15,21.2,Regular Air,'2013-01-04',Merida,5334,5334,89999,89999,1988,1988,Anna Burgess,Furniture,2.38,'2013-01-02 04:51:59.000',1
Delivered,0.99,Critical,Corporate,Office Supplies,Paper,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",6.11,11,40,3.91,1.93,Express Air,'2013-01-06',San Francisco,8687,8687,85850,85850,3146,3146,Maureen Stout,Stationery,1.91,'2013-01-03 15:17:32.000',1
Delivered,1,High,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,-472.85,1,348.19,370.41,30,Delivery Truck,'2013-01-05',Voronezh,2403,2403,86356,86356,915,915,Carol Sherrill,Furniture,14.81,'2013-01-03 02:20:11.000',1
Delivered,0.97,Critical,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,-10.87,4,13.74,3.54,6.27,Regular Air,'2013-01-05',San Francisco,8686,8686,85850,85850,3146,3146,Maureen Stout,Stationery,0.4,'2013-01-03 15:16:11.000',1
Delivered,1,Critical,Small Business,Furniture,Office Furnishings,Large Box,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1456.62,10,2170.31,221.46,21.21,Regular Air,'2013-01-06',Riyadh,7194,7194,85914,85914,2630,2630,Betsy Puckett,Furniture,85.72,'2013-01-04 02:11:30.000',1
Delivered,1,Critical,Small Business,Furniture,Office Furnishings,Large Box,Electrix Halogen Magnifier Lamp,666.82,5,1015.05,205.06,11.54,Regular Air,'2013-01-07',Riyadh,7193,7193,85914,85914,2630,2630,Betsy Puckett,Furniture,35.5,'2013-01-04 05:00:52.000',1
Delivered,1,Critical,Small Business,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,774.62,8,1228,153.5,17.85,Delivery Truck,'2013-01-07',Riyadh,7195,7195,85914,85914,2630,2630,Betsy Puckett,Computer & Electronics,37.4,'2013-01-04 00:34:20.000',1
Delivered,0.98,Critical,Consumer,Technology,Telephones and Communication,Small Box,232,440.01,6,765.85,132.96,5.26,Regular Air,'2013-01-05',Voronezh,2318,2318,89536,89536,890,890,Billie Fowler,Computer & Electronics,35.1,'2013-01-04 06:56:50.000',1
Delivered,1,Critical,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Metal Folding Chairs, Beige, 4/Carton",1.28,11,19.43,1.92,0.75,Regular Air,'2013-01-06',Voronezh,2317,2317,89536,89536,890,890,Billie Fowler,Furniture,1.24,'2013-01-04 12:52:04.000',1
Delivered,0.74,High,Consumer,Technology,Telephones and Communication,Small Box,3285,-72.35,3,645.68,217.4,5.99,Regular Air,'2013-01-07',Gurgaon,6008,6008,86258,86258,2206,2206,Bobby Powell,Computer & Electronics,18.2,'2013-01-04 14:03:07.000',1
Delivered,0.78,High,Consumer,Technology,Computer Peripherals,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",-34.1,2,58.32,30.06,1.99,Regular Air,'2013-01-06',Ahmedabad,6007,6007,86258,86258,2206,2206,Bobby Powell,Computer & Electronics,2.17,'2013-01-04 10:55:06.000',1
Delivered,1,Not Specified,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",-157.31,1,236.89,257.49,43.32,Delivery Truck,'2013-01-06',Tijuana,5877,5877,90404,90404,2151,2151,Melinda Rogers,Furniture,12.08,'2013-01-04 16:07:19.000',1
Refunded,0.7,Not Specified,Home Office,Office Supplies,Paper,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",-38.9,6,45.94,8.06,5.83,Regular Air,'2013-01-06',Istanbul,2798,2798,86122,86122,1085,1085,Ted Dunlap,Stationery,1.7,'2013-01-04 09:17:31.000',1
Delivered,1,High,Home Office,Technology,Office Machines,Jumbo Drum,Canon S750 Color Inkjet Printer,-225.93,2,234.91,127.67,26.3,Delivery Truck,'2013-01-07',Dallas,8634,8634,87285,87285,3125,3125,Guy McDonald,Computer & Electronics,10.28,'2013-01-04 13:37:58.000',1
Refunded,0.88,Medium,Corporate,Office Supplies,Storage & Organization,Small Box,"Perma STOR-ALLâ„¢ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",-49.98,11,63.16,6.31,4.69,Regular Air,'2013-01-06',San Francisco,9189,9189,86283,86283,3331,3331,Elisabeth Shaw,Furniture,3.68,'2013-01-04 06:54:59.000',1
Refunded,0.93,Not Specified,Consumer,Technology,Computer Peripherals,Small Pack,BASF Silver 74 Minute CD-R,8.36,7,11.84,1.8,1.99,Regular Air,'2013-01-07',Hartford,9089,9089,90750,90750,3285,3285,Ricky Garner,Computer & Electronics,0.59,'2013-01-05 07:08:18.000',1
Refunded,0.9,Not Specified,Consumer,Office Supplies,Paper,Small Box,Xerox 19,205.02,9,291.27,32.69,5.09,Regular Air,'2013-01-08',Denver,9090,9090,90750,90750,3285,3285,Ricky Garner,Stationery,7.95,'2013-01-05 07:07:23.000',1
Delivered,0.93,Low,Corporate,Office Supplies,Storage & Organization,Large Box,Tennsco Commercial Shelving,28.78,2,40.79,21.47,35,Regular Air,'2013-01-10',Cancun,5863,5863,87071,87071,2146,2146,Courtney Boyd,Furniture,1.24,'2013-01-05 00:27:57.000',1
Delivered,0.99,Not Specified,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex Swivel Fabric Task Chair,126.94,6,946.48,159.34,30,Delivery Truck,'2013-01-08',Ryazan,2107,2107,89909,89909,799,799,Lee McKenna Gregory,Furniture,21.07,'2013-01-05 04:00:54.000',1
Delivered,1,Low,Small Business,Furniture,Bookcases,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",-130.34,6,626.63,106.57,35.84,Delivery Truck,'2013-01-06',St. Petersburg,2079,2079,90961,90961,783,783,Carlos Byrd,Stationery,13.29,'2013-01-05 19:02:59.000',1
Refunded,0.77,Not Specified,Consumer,Office Supplies,Storage & Organization,Medium Box,Eldon Portable Mobile Manager,-86.27,12,354.62,29.85,13.99,Express Air,'2013-01-08',Ryazan,2108,2108,89909,89909,799,799,Lee McKenna Gregory,Furniture,7.89,'2013-01-05 08:00:39.000',1
Delivered,1,Critical,Home Office,Furniture,Bookcases,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-13242.64,8,7140.33,929.73,44.55,Delivery Truck,'2013-01-07',Davangere,4845,4845,87853,87853,1793,1793,Derek Jernigan,Stationery,356.5,'2013-01-05 08:25:14.000',1
Refunded,0.79,Medium,Consumer,Furniture,Office Furnishings,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,-26.42,5,33.25,7,4.95,Express Air,'2013-01-08',Montgomery,9240,9240,89355,89355,3347,3347,Carrie McIntosh,Furniture,1.43,'2013-01-05 19:55:27.000',1
Delivered,0.89,High,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 342,-18.67,7,23.49,3.46,3.97,Regular Air,'2013-01-08',Tijuana,4810,4810,89856,89856,1782,1782,Lawrence Dennis,Stationery,1.07,'2013-01-05 14:15:57.000',1
Refunded,0.92,Not Specified,Consumer,Technology,Telephones and Communication,Small Box,Accessory35,-29.04,1,36.85,37.99,1.1,Regular Air,'2013-01-07',Kaliningrad,2109,2109,89909,89909,799,799,Lee McKenna Gregory,Computer & Electronics,1.16,'2013-01-05 01:07:30.000',1
Delivered,1,Medium,Home Office,Technology,Office Machines,Large Box,Polycom ViewStationâ„¢ ISDN Videoconferencing Unit,75.34,2,13314.64,7158.41,24.49,Regular Air,'2013-01-08',Cancun,4265,4265,87993,87993,1606,1606,Don Rogers,Computer & Electronics,855.72,'2013-01-06 07:22:08.000',1
Delivered,0.83,High,Small Business,Technology,Telephones and Communication,Small Box,i1000,-134.47,3,194.3,69.64,5.99,Regular Air,'2013-01-08',Riyadh,7196,7196,85915,85915,2630,2630,Betsy Puckett,Computer & Electronics,12.06,'2013-01-06 01:23:00.000',1
Delivered,0.69,High,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",-238.57,12,186.36,16.88,13.18,Regular Air,'2013-01-08',Melbourne,1727,1727,91575,91575,651,651,Leah Clapp,Stationery,12.43,'2013-01-06 00:31:59.000',1
Delivered,1,Medium,Home Office,Technology,Copiers and Fax,Large Box,Canon PC1060 Personal Laser Copier,-547.23,1,687.02,738.73,24.49,Express Air,'2013-01-08',Merida,4264,4264,87993,87993,1606,1606,Don Rogers,Computer & Electronics,44.15,'2013-01-06 13:28:32.000',1
Refunded,0.91,Medium,Consumer,Technology,Computer Peripherals,Small Box,Keytronic French Keyboard,-59.72,1,75.74,78.08,14.52,Regular Air,'2013-01-10',Recife,3611,3611,90513,90513,1367,1367,James Hunter,Computer & Electronics,2.86,'2013-01-06 08:33:29.000',1
Delivered,0.82,High,Home Office,Furniture,Office Furnishings,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",16.84,1,23.26,23.98,8.99,Regular Air,'2013-01-08',Paris,7991,7991,88156,88156,2908,2908,Robyn Lyon,Furniture,0.99,'2013-01-07 05:25:24.000',1
Delivered,0.74,High,Home Office,Office Supplies,Labels,Small Box,Avery 491,10.59,4,16.22,4.36,0.99,Regular Air,'2013-01-08',Marseille,7990,7990,88156,88156,2908,2908,Robyn Lyon,Stationery,0.98,'2013-01-07 10:25:35.000',1
Delivered,1,High,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,GBC DocuBind TL300 Electric Binding System,3480.23,6,5509.39,946.63,19.99,Regular Air,'2013-01-10',Aomori,7851,7851,85826,85826,2868,2868,Eugene Clayton,Stationery,234.66,'2013-01-07 05:37:28.000',1
Refunded,0.91,Not Specified,Home Office,Office Supplies,Appliances,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,-43.99,6,85.71,15.36,3.5,Regular Air,'2013-01-09',Hong Kong,5700,5700,87888,87888,2099,2099,Nathan Fox,Furniture,4.6,'2013-01-07 08:41:11.000',1
Refunded,0.53,Not Specified,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 339,-4.9,6,16,2.93,0.97,Regular Air,'2013-01-11',Bangalore,5916,5916,88794,88794,2165,2165,Melanie Knight,Stationery,0.66,'2013-01-08 01:26:21.000',1
Refunded,0.88,Not Specified,Home Office,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",-49.99,9,38.46,4.36,6.89,Regular Air,'2013-01-10',Hong Kong,4686,4686,18561,18561,1745,1745,Herbert Holden,Stationery,1.6,'2013-01-08 06:43:54.000',1
Delivered,0.89,High,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,-196.78,11,135.41,12.31,8.99,Express Air,'2013-01-11',Kaliningrad,2181,2181,89770,89770,833,833,Gerald Love,Stationery,1.76,'2013-01-08 01:33:25.000',1
Refunded,0.55,Low,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,12 Colored Short Pencils,-23.47,12,29.59,2.74,2.4,Regular Air,'2013-01-14',Salem,6987,6987,86527,86527,2555,2555,Karl Knowles,Stationery,2.27,'2013-01-09 00:55:24.000',1
Refunded,0.89,Not Specified,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",-13.41,3,16.87,5.68,7.57,Regular Air,'2013-01-10',Tumkur,5913,5913,88794,88794,2164,2164,Harry Sellers,Stationery,0.14,'2013-01-08 05:26:29.000',1
Refunded,0.68,Not Specified,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,-28.68,11,36.16,3.46,3.97,Regular Air,'2013-01-09',Varanasi,5914,5914,88794,88794,2164,2164,Harry Sellers,Stationery,0.96,'2013-01-08 17:49:18.000',1
Refunded,0.65,Low,Corporate,Technology,Telephones and Communication,Small Box,M70,-101.6,1,127.64,132.96,8.99,Regular Air,'2013-01-16',Leeds,938,938,91130,91130,358,358,Chris F Brandt,Computer & Electronics,4.32,'2013-01-08 08:17:22.000',1
Delivered,0.99,Critical,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 309,95.19,12,138.97,12.19,2.36,Regular Air,'2013-01-12',Cancun,5309,5309,89039,89039,1976,1976,Sherri F Vogel,Stationery,5.45,'2013-01-09 03:05:09.000',1
Delivered,0.99,Critical,Corporate,Furniture,Office Furnishings,Wrap Bag,Document Clip Frames,33.18,6,52.27,8.8,0.96,Regular Air,'2013-01-12',Ryazan,2347,2347,90166,90166,896,896,Jennifer Siegel,Furniture,1.15,'2013-01-09 10:10:59.000',1
Delivered,0.99,Critical,Corporate,Furniture,Office Furnishings,Wrap Bag,Document Clip Frames,28.35,24,209.09,8.8,0.96,Regular Air,'2013-01-12',Ryazan,2328,2328,14596,14596,894,894,Gail Rankin Cole,Furniture,7.81,'2013-01-09 19:25:53.000',1
Delivered,1,Low,Corporate,Technology,Office Machines,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,-47.31,12,3656.36,314.12,14.7,Delivery Truck,'2013-01-15',Milan,6365,6365,89503,89503,2346,2346,Sylvia Kumar,Computer & Electronics,163.05,'2013-01-09 09:16:29.000',1
Refunded,0.54,Low,Home Office,Technology,Computer Peripherals,Small Box,"Fellowes Internet Keyboard, Platinum",-184.79,11,335.45,32.1,8.65,Express Air,'2013-01-14',Merida,5824,5824,90078,90078,2132,2132,Philip Hawkins,Computer & Electronics,13.7,'2013-01-09 08:37:51.000',1
Delivered,0.99,Critical,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,-83.1,19,61.8,3.46,3.97,Regular Air,'2013-01-11',Ryazan,2329,2329,14596,14596,894,894,Gail Rankin Cole,Stationery,3.7,'2013-01-09 14:51:35.000',1
Delivered,1,Critical,Consumer,Furniture,Bookcases,Jumbo Box,"Hon Metal Bookcases, Putty",-821.86,8,569.32,74.91,46.74,Delivery Truck,'2013-01-11',Merida,5308,5308,89039,89039,1976,1976,Sherri F Vogel,Stationery,22.33,'2013-01-09 13:06:48.000',1
Refunded,0.88,Medium,Consumer,Technology,Computer Peripherals,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",-33.63,8,42.4,5.3,5.14,Regular Air,'2013-01-11',Bordeaux,7672,7672,87552,87552,2797,2797,Cameron Kendall,Computer & Electronics,1.19,'2013-01-09 19:04:53.000',1
Refunded,0.88,Not Specified,Corporate,Office Supplies,Paper,Small Box,Xerox 1996,-21.26,4,26.81,6.84,9.17,Regular Air,'2013-01-11',London,497,497,90431,90431,194,194,Tammy Goldman,Stationery,1.06,'2013-01-09 00:42:27.000',1
Delivered,0.99,Critical,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 337,-12.94,5,16.26,3.46,3.97,Regular Air,'2013-01-11',Moscow,2348,2348,90166,90166,896,896,Jennifer Siegel,Stationery,0.72,'2013-01-09 12:38:03.000',1
Refunded,0.83,Not Specified,Small Business,Office Supplies,Paper,Small Box,Xerox 188,22.42,5,58.05,11.97,5.01,Regular Air,'2013-01-11',Melbourne,1201,1201,88060,88060,470,470,Tony Doyle,Stationery,0.93,'2013-01-11 00:03:23.000',1
Delivered,1,Not Specified,Small Business,Technology,Office Machines,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,479.98,5,1444.95,314.12,14.7,Delivery Truck,'2013-01-11',Melbourne,1197,1197,88060,88060,466,466,Marc Nash,Computer & Electronics,77.49,'2013-01-10 03:49:52.000',1
Delivered,1,Low,Consumer,Technology,Office Machines,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,27.55,5,1941.71,422.11,12.06,Delivery Truck,'2013-01-18',Birmingham,436,436,89426,89426,166,166,Vicki Hauser,Computer & Electronics,114.08,'2013-01-10 01:27:52.000',1
Refunded,0.77,Not Specified,Small Business,Office Supplies,Appliances,Medium Box,Holmes Odor Grabber,-26.8,5,71.53,15.22,6.75,Regular Air,'2013-01-12',Canberra,1199,1199,88060,88060,468,468,Craig Bennett,Furniture,2.18,'2013-01-10 05:00:14.000',1
Delivered,0.58,Not Specified,Small Business,Furniture,Office Furnishings,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",-116.91,11,147.79,13.71,14.37,Regular Air,'2013-01-12',Canberra,1198,1198,88060,88060,467,467,Maria Thomas,Furniture,2.17,'2013-01-10 02:54:59.000',1
Refunded,0.67,Not Specified,Small Business,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,-22.96,7,29.06,4.37,6.6,Express Air,'2013-01-13',Hobart,1200,1200,88060,88060,469,469,Marion Bowling,Furniture,0.69,'2013-01-10 15:14:59.000',1
Refunded,0.77,Low,Home Office,Office Supplies,Envelopes,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",43.47,7,64.61,9.23,1.39,Regular Air,'2013-01-16',Recife,3793,3793,89448,89448,1424,1424,Robyn Zhou,Stationery,1.15,'2013-01-11 11:03:32.000',1
Delivered,1,Critical,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2601.32,11,3952.27,370.41,30,Delivery Truck,'2013-01-15',Milwaukee,7597,7597,91228,91228,2776,2776,April Henson,Furniture,156.94,'2013-01-11 01:34:02.000',1
Refunded,0.93,Medium,Consumer,Technology,Computer Peripherals,Small Box,Targus USB Numeric Keypad,64.59,3,116.75,43.24,6.5,Regular Air,'2013-01-14',Victoria,5623,5623,88554,88554,2069,2069,Elsie Boykin,Computer & Electronics,8.15,'2013-01-11 03:10:57.000',1
Delivered,1,Low,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Leather Executive Chair,436.01,3,1055.7,370.42,39,Delivery Truck,'2013-01-14',Rio de Janeiro,3792,3792,89448,89448,1424,1424,Robyn Zhou,Furniture,42.59,'2013-01-11 02:50:44.000',1
Delivered,0.99,Critical,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Prang Dustless Chalk Sticks,2,8,13.67,1.78,1,Regular Air,'2013-01-14',Montgomery,7598,7598,91228,91228,2776,2776,April Henson,Stationery,0.6,'2013-01-11 04:48:12.000',1
Refunded,0.81,Not Specified,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer,-217.05,10,266.54,29.29,19.99,Regular Air,'2013-01-13',St. Petersburg,1997,1997,91200,91200,750,750,Jordan Wilkinson,Furniture,19.01,'2013-01-11 11:20:23.000',1
Delivered,0.51,Low,Home Office,Office Supplies,Rubber Bands,Wrap Bag,"Brites Rubber Bands, 1 1/2 oz. Box",-20.03,11,22.42,2.08,0.7,Regular Air,'2013-01-16',Recife,3794,3794,89448,89448,1424,1424,Robyn Zhou,Stationery,0.6,'2013-01-11 03:14:58.000',1
Refunded,0.7,Low,Corporate,Office Supplies,Paper,Small Box,Xerox 1910,101.68,3,149.06,50.7,5.09,Regular Air,'2013-01-13',Hobart,1311,1311,90058,90058,510,510,Gregory Rao,Stationery,5.45,'2013-01-12 08:09:50.000',1
Refunded,0.78,Low,Consumer,Office Supplies,Paper,Small Box,Xerox 1903,-40.55,13,76.29,6.31,5.79,Regular Air,'2013-01-15',Marseille,6429,6429,90408,90408,2369,2369,Mike G Hartman,Stationery,4.28,'2013-01-12 19:28:27.000',1
Delivered,1,Medium,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagodaâ„¢ Round Back Stacking Chairs,938.74,6,1910.55,338.75,58.95,Delivery Truck,'2013-01-16',San Francisco,8698,8698,89716,89716,3149,3149,Harriet Moore,Furniture,95.36,'2013-01-13 09:24:18.000',1
Delivered,0.99,Critical,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 336,10.22,7,29.11,4.52,0.94,Regular Air,'2013-01-17',Varanasi,4349,4349,89704,89704,1636,1636,Sidney Greenberg,Stationery,1.8,'2013-01-13 08:55:02.000',1
Refunded,0.75,Not Specified,Small Business,Office Supplies,Envelopes,Small Box,Tyvek Side-Opening Peel & Seel Expanding Envelopes,-11.42,2,177.61,95.49,19.99,Regular Air,'2013-01-15',Madison,8919,8919,86507,86507,3226,3226,Arthur Gold,Stationery,7.42,'2013-01-13 04:49:50.000',1
Delivered,0.99,Critical,Small Business,Office Supplies,Paper,Small Box,Xerox 1939,-8.86,3,54.05,20.02,9.54,Express Air,'2013-01-16',Voronezh,2056,2056,88666,88666,772,772,Jean Webster,Stationery,3.76,'2013-01-13 14:02:55.000',1
Delivered,1,Not Specified,Small Business,Office Supplies,Appliances,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",-132.87,4,790.85,219.68,68.02,Delivery Truck,'2013-01-14',Salem,8914,8914,86507,86507,3225,3225,Robyn Crawford,Furniture,52.89,'2013-01-13 01:45:53.000',1
Refunded,0.67,Medium,Corporate,Furniture,Office Furnishings,Large Box,Telescoping Adjustable Floor Lamp,-64.57,7,138.84,21.1,11.17,Regular Air,'2013-01-14',San Francisco,8691,8691,89716,89716,3148,3148,Leroy Field,Furniture,8.1,'2013-01-13 13:27:12.000',1
